Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
4,-4.5,54,93600,0,0,237,0,0,0,0,0,0,0,360,2,10,10,4,610,9,0,170,0.067,0,88,0.17,0,1
4.1,-4.5,53,93600,0,0,238,0,0,0,0,0,0,0,338,2,10,10,0,0,9,0,170,0.067,0,88,0.17,0,1
4.2,-4.5,53,93600,0,0,238,0,0,0,0,0,0,0,360,1,10,10,0,0,9,0,170,0.067,0,88,0.17,0,1
4.1,-5,51,93500,0,0,237,0,0,0,0,0,0,0,360,1,10,10,0,0,9,0,170,0.067,0,88,0.17,0,1
2.9,-3.6,62,93600,0,0,236,0,0,0,0,0,0,0,293,1,10,10,0.8,30,9,0,170,0.067,0,88,0.17,0,1
2.4,-3.1,67,93500,0,0,235,0,0,0,0,0,0,0,338,1,10,10,0.4,0,9,0,170,0.067,0,88,0.17,0,1
2.2,-4.5,61,93600,0,0,231,0,0,0,0,0,0,0,360,1,10,10,1.6,30,9,0,170,0.067,0,88,0.17,0,1
1.6,-4.5,64,93500,0,0,229,0,0,0,0,0,0,0,225,1,10,10,3.2,61,9,0,170,0.067,0,88,0.17,0,1
2.1,-4,64,93500,0,0,232,0,0,0,0,0,0,0,315,1,10,10,1.2,30,9,0,170,0.067,0,88,0.17,0,1
3.7,-3.6,59,93600,0,0,238,14,0,14,1653,0,1653,300,68,1,10,10,2.4,61,9,0,170,0.067,0,88,0.17,0,1
3.7,-2.7,63,93600,10,436,240,97,100,78,19756,10500,9256,1545,248,1,10,10,1.2,61,9,0,170,0.067,0,88,0.17,0,1
